Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,latitude,longitude,North,East
ISL,DT,KET,83,堅尼地城,Kennedy Town,17,22.28111111,114.1286111,22.16.52,114.07.43
ISL,UT,KET,83,堅尼地城,Kennedy Town,1,22.28111111,114.1286111,22.16.52,114.07.43
ISL,UT,HKU,82,香港大學,HKU,2,22.28416667,114.1355556,22.17.03,114.08.08
ISL,UT,SYP,81,西營盤,Sai Ying Pun,3,22.28555556,114.1427778,22.17.08,114.08.34
ISL,UT,SHW,26,上環,Sheung Wan,4,22.28611111,114.1516667,22.17.10,114.09.06
ISL,UT,CEN,1,中環,Central,5,22.28194444,114.1575,22.16.55,114.09.27
ISL,UT,ADM,2,金鐘,Admiralty,6,22.27888889,114.1647222,22.16.44,114.09.53
ISL,UT,WAC,27,灣仔,Wan Chai,7,22.27722222,114.1727778,22.16.38,114.10.22
ISL,UT,CAB,28,銅鑼灣,Causeway Bay,8,22.28027778,114.1836111,22.16.49,114.11.01
ISL,UT,TIH,29,天后,Tin Hau,9,22.28277778,114.1916667,22.16.58,114.11.30
ISL,UT,FOH,30,炮台山,Fortress Hill,10,22.28805556,114.1936111,22.17.17,114.11.37
ISL,UT,NOP,31,北角,North Point,11,22.29083333,114.2008333,22.17.27,114.12.03
ISL,UT,QUB,32,鰂魚涌,Quarry Bay,12,22.28777778,114.2097222,22.17.16,114.12.35
ISL,UT,TAK,33,太古,Tai Koo,13,22.28472222,114.2161111,22.17.05,114.12.58
ISL,UT,SWH,34,西灣河,Sai Wan Ho,14,22.28166667,114.2225,22.16.54,114.13.21
ISL,UT,SKW,35,筲箕灣,Shau Kei Wan,15,22.27888889,114.2288889,22.16.44,114.13.44
ISL,UT,HFC,36,杏花邨,Heng Fa Chuen,16,22.27694444,114.2397222,22.16.37,114.14.23
ISL,UT,CHW,37,柴灣,Chai Wan,17,22.26444444,114.2366667,22.15.52,114.14.12
KTL,DT,TIK,49,調景嶺,Tiu Keng Leng,1,22.30416667,114.2525,22.18.15,114.15.09
KTL,DT,YAT,48,油塘,Yau Tong,2,22.29777778,114.2372222,22.17.52,114.14.14
KTL,DT,LAT,38,藍田,Lam Tin,3,22.30666667,114.2330556,22.18.24,114.13.59
KTL,DT,KWT,15,觀塘,Kwun Tong,4,22.31222222,114.2263889,22.18.44,114.13.35
KTL,DT,NTK,14,牛頭角,Ngau Tau Kok,5,22.31527778,114.2191667,22.18.55,114.13.09
KTL,DT,KOB,13,九龍灣,Kowloon Bay,6,22.32361111,114.2141667,22.19.25,114.12.51
KTL,DT,CHH,12,彩虹,Choi Hung,7,22.56333333,114.3580556,22.33.48,114.20.89
KTL,DT,DIH,11,鑽石山,Diamond Hill,8,22.34,114.2016667,22.20.24,114.12.06
KTL,DT,WTS,10,黃大仙,Wong Tai Sin,9,22.34166667,114.1938889,22.20.30,114.11.38
KTL,DT,LOF,9,樂富,Lok Fu,10,22.33805556,114.1872222,22.20.17,114.11.14
KTL,DT,KOT,8,九龍塘,Kowloon Tong,11,22.33694444,114.1761111,22.20.13,114.10.34
KTL,DT,SKM,7,石硤尾,Shek Kip Mei,12,22.33194444,114.1686111,22.19.55,114.10.07
KTL,DT,PRE,16,太子,Prince Edward,13,22.32444444,114.1683333,22.19.28,114.10.06
KTL,DT,MOK,6,旺角,Mong Kok,14,22.31916667,114.1694444,22.19.09,114.10.10
KTL,DT,YMT,5,油麻地,Yau Ma Tei,15,22.31277778,114.1708333,22.18.46,114.10.15
KTL,DT,HOM,84,何文田,Ho Man Tin,16,22.30916667,114.1827778,22.18.33,114.10.58
KTL,DT,WHA,85,黃埔,Whampoa,17,22.305,114.1897222,22.18.18,114.11.23
KTL,UT,WHA,85,黃埔,Whampoa,1,22.305,114.1897222,22.18.18,114.11.23
KTL,UT,HOM,84,何文田,Ho Man Tin,2,22.30916667,114.1827778,22.18.33,114.10.58
KTL,UT,YMT,5,油麻地,Yau Ma Tei,3,22.31277778,114.1708333,22.18.46,114.10.15
KTL,UT,MOK,6,旺角,Mong Kok,4,22.31916667,114.1694444,22.19.09,114.10.10
KTL,UT,PRE,16,太子,Prince Edward,5,22.32444444,114.1683333,22.19.28,114.10.06
KTL,UT,SKM,7,石硤尾,Shek Kip Mei,6,22.33194444,114.1686111,22.19.55,114.10.07
KTL,UT,KOT,8,九龍塘,Kowloon Tong,7,22.33694444,114.1761111,22.20.13,114.10.34
KTL,UT,LOF,9,樂富,Lok Fu,8,22.33805556,114.1872222,22.20.17,114.11.14
KTL,UT,WTS,10,黃大仙,Wong Tai Sin,9,22.34166667,114.1938889,22.20.30,114.11.38
KTL,UT,DIH,11,鑽石山,Diamond Hill,10,22.34,114.2016667,22.20.24,114.12.06
KTL,UT,CHH,12,彩虹,Choi Hung,11,22.56333333,114.3580556,22.33.48,114.20.89
KTL,UT,KOB,13,九龍灣,Kowloon Bay,12,22.32361111,114.2141667,22.19.25,114.12.51
KTL,UT,NTK,14,牛頭角,Ngau Tau Kok,13,22.31527778,114.2191667,22.18.55,114.13.09
KTL,UT,KWT,15,觀塘,Kwun Tong,14,22.31222222,114.2263889,22.18.44,114.13.35
